,posisi,instansi,gaji
0,Junior Android Developer/Programmer,Stampindo Lancar Jaya PT,"IDR, 4.000.000, 5.000.000"
1,Programmer,Untung Bersama Sejahtera PT,0
2,JUNIOR APPLICATION PROGRAMMER,Internet Cipta Rekayasa PT,"IDR, 5.500.000, 6.000.000"
3,Java Programmer,Electronic Data Interchange Indonesia PT,0
4,Web Programmer,Citra Intirama PT,"IDR, 4.000.000, 6.000.000"
5,Mobile Programmer,Itommey Bintang Indonesia PT,0
6,IT Programmer,Jaringan Nusantara Prima PT,0
7,JUNIOR PROGRAMMER,Stampindo Lancar Jaya PT,"IDR, 4.000.000, 8.000.000"
8,IT Programmer,Sumberdaya Dian Mandiri PT,0
9,Delphi Programmer,BPR Kredit Mandiri Indonesia PT,"IDR, 4.000.000, 5.500.000"
10,Programmer Officer - Surabaya,Yayasan Citra Berkat,0
11,Web Programmer,BPR Kredit Mandiri Indonesia PT,"IDR, 4.000.000, 5.000.000"
12,IT Programmer and Analyst,L'viors Jaya Sentosa PT,"IDR, 4.200.000, 6.000.000"
13,Programmer,Kinarya Alihdaya Mandiri PT,0
14,Staff / Supervisor Programmer (SPM-20),Champ Resto Indonesia PT,0
15,Programmer,Arisa Mandiri Pratama PT,0
16,IT Programmer,Arisa Mandiri Pratama PT,0
17,WEB PROGRAMMER (PWA),Cahaya Duabelas Semesta PT,0
18,Programmer,Wynfield Global Ventures PT,0
19,Web Programmer,Cahaya Duabelas Semesta PT,0
